User-ids      Usage         Counts      
liut               47062.9          169
matta              46820.3           25
fuchengy           46532.6           28
sshams             46072.5           61
gavinmad           46064.4           37
elenap             45653.3           23
jianguan           45285.0           98
yingxiao           44983.7           10
mrao               44960.0          105
tzaremba           44178.7           13
gkakoti            44158.4           16
aryalsau           43383.4           68
xlevine            41274.7          148
phamkh             41117.2           34
mkpistarini        41083.1          227
hubbard            40879.3           72
flaviosantos       40528.1           24
patton             38430.5           37
amuehr             37960.5            4
chuchun2           37816.7           85
dikpati            37403.8           34
hshin              37308.8           24
tferreira          37026.1            4
teng               36955.9           30
worapop            36788.3           49
xwzhang            36679.4          121
amirrezaei         35961.9           17
weirauch           33736.7           82
anazarova          33003.5           92
schwartz           32749.1            9
dgoldstein         32670.2           15
lilyw              31999.9           87
wdecredico         31917.6           30
fvitt              31881.6          308
dkpeng             31846.2           26
benkoz             31075.7          450
srees              31045.3           12
sjarhan            30661.0         1853
yeddebba           30196.9           39
hhou               29657.1           36
visaga             29310.4           68
aiyer              28589.6           35
ckruse             28202.7            5
hmao               28098.1           38
yingpan            27250.5            9
xhidalgo           27223.0           14
dlu                27107.9           70
jpr3               26378.5            7
geraint            26274.2          116
swensosc           25921.3           54
skeshri            25419.3           39
areynoso           25380.2           33
mlueken            25169.8         1143
lijiez             25094.9           15
duda               24552.4          126
jjacdan            24472.5           40
sdseidel           24261.1          267
nklimpel           23961.7           12
siyuzhao           23723.7           45
ankurk             23610.8           11
cobrien            23213.8           71
ebednarz           22812.1            4
gwarner            22617.4           17
mchang             22511.2          116
cmasiello          21606.4            9
haofu              21555.0           60
jonahshaw          21373.5           50
jkong              21285.0           34
ojagtap            21265.1           20
coas4              21238.6           30
bresch             21079.6           17
lipscomb           20470.2          288
lihuiji2           20460.9           11
maxphillips        20457.5           36
schwamb            20452.2           36
jkang              20324.8            4
cecilia            20314.1           36
haoluny            20269.8           13
rarmstrong         20194.1           71
vamoruso           19977.7           63
pinto              19898.3          204
kuanchihw          19897.2          255
domingom           19705.0           48
zhifengy           19646.9          140
knocasio           19620.1           16
islas              19129.0            9
chunyur            19102.4           56
rfalga             18967.6           82
xuguang            18900.2           31
yuhong             18718.8           63
jet                18607.3           92
jpeters            18497.1           10
avclarke           18209.8           31
msyrett            17751.5           24
ananyashar         17747.0            3
jvalencia          17683.8          343
cctsai             17634.7         1508
nfigueira          17609.1           27
ukhaira            17411.9           19
mluongo            17378.4           28
katiew             17277.4           30
weiyiwang          17120.7          221
hlowes             17048.4          566
pvelt              16686.0          118
rsukhdeo           16563.8           11
tslin2             16216.8           41
koushanm           16053.2          105
glemieux           15993.9          408
garimam            15940.2           99
aqshu              15640.0          835
wwieder            15535.4          237
syshi              15520.7          104
jrotondo           15417.6          189
snwu               15349.2            9
msalazar           15124.9           35
marialrocha        14625.4           73
mtdvorak           14461.6            5
sroos              14395.5           13
chengw             14364.5           31
rford2             14298.7           21
huebler            13916.5         3634
jsummers           13848.7            5
sydneyc            13803.0          145
mwong              13633.7          104
manishrv           13524.9           55
rmartz             13465.2            4
eaudu              13096.5           86
bacastro           13091.6           84
giamalaki          12875.3          163
grubin             12764.2          681
yuqinsong          12748.8           40
agupta             12652.7           36
mrislam            12427.6           71
yueqijiang         12405.9            5
sshohan            12199.1         1050
rbhandari          12179.5           22
otomazzeli         12151.5           16
apauls             12065.9          242
chandrud           12056.2           36
tylermixa          12050.8            4
douglash           12050.0            6
edavenport         12029.6            8
yuxinz             12023.4           26
jsexton            11947.7           12
mvdebolskiy        11516.6           39
qlawton            11446.6            3
nghido             11423.3          625
nstansell          11413.9           12
sfield             11388.1           19
vikashn            11320.9           45
jmantovani         11305.2           22
mmarkina           10907.6           60
stonek             10817.5            4
morrison           10812.1           21
bmoose             10807.3          941
adugger            10743.0           34
ajanney            10560.8            8
camilleh           10462.0           23
lucaso             10380.8            4
courtneyp          10374.5          119
chunyuy            10296.7            5
ihtam              10295.8            2
mkilgore           10278.9           16
ganglu             10225.0           11
brendanmy          10200.6           10
weiwang            10109.3          128
wdaniels            9974.3           14
cenlinhe            9974.2           18
amistry             9678.8            4
lshumpert           9314.6           58
imedina             9253.7           23
allisony            9199.0            7
amiyamoto           9007.9          100
dmeidan             8987.8           18
skamalah            8859.7           27
maggievg            8737.7           10
lsheji              8684.0         1327
pefigue             8682.3           13
mgore               8590.9          145
tzaman              8348.2            2
jschwarz            8306.2           33
xiali               8143.1            3
prasoonv            8049.6           13
jolowe              7863.0           22
jeffreyg            7837.3           10
rgknox              7606.6          266
jschnaubelt         7365.9            6
stoedtli            7317.2         1534
ekirchner           7301.2            5
athornton           7211.1           33
lanluan             7171.1          113
wmayfield           7149.3           93
kshourd             7126.1           54
joonheek            7021.7          117
salinas             6878.4            6
rkumar              6860.7           74
jwittig             6826.7         1576
aaronh              6723.5          134
lijunz              6711.8           54
adac                6705.5           28
icuadras            6675.7           44
gduine              6656.5            3
rpurciel            6531.1           47
epicufsrt           6528.0         1214
sharmaa             6490.2           24
npinkrah            6438.7           27
ptuckman            6418.5           19
oladoja             6354.7           11
bitz                6316.4           30
tzuchintsai         6214.1          282
srathod             6183.7           17
ssaki               6157.0            7
jiahuih             6092.1           10
qingyu              5995.5           16
taydral             5930.6           14
sknapp              5810.3           17
rozoff              5755.9           41
dkin                5736.8            2
joko                5704.0          504
lli226              5534.5           12
rzzqadiri           5530.0           11
mollyb              5351.8            2
phoebelin           5342.4           68
miyawaki            5342.3            2
yunbol              5311.0           24
mingge              5296.4           72
sicheng             5279.8            2
shije               5214.0           41
vpatel              5088.5           34
manir               5085.3           54
qasena              5067.7           22
tianzel             4996.5           16
krocci              4988.0           78
svakh               4804.3            4
rebeccao            4650.0           36
ajalali             4615.6            3
xingruwu            4599.5           40
doughert            4594.3           49
nmarkus             4497.9           22
nmow                4466.0            5
tmaio               4382.5            8
raeder              4318.9            6
nforcone            4205.8           44
claireliu           4188.0            3
paddy               4179.4           43
bbass               4158.7           24
bsahoo              4125.1           10
ihanchen            4030.9           84
lingwang            3948.8            1
royfeng             3844.5           12
kumar34             3841.3            2
zhihuaz             3833.6          543
jesswan             3801.6            4
zhezhang            3757.5           17
locascio            3750.9           19
fanwu               3736.3           23
alund               3728.6            1
cab478              3715.4            7
taoyuan             3713.5           19
xiaofeis            3668.2            8
xiangli             3606.7           18
mbinder             3599.0            4
bmartinez           3553.1            8
zhangyx             3274.3           27
shamimul            3252.3            1
lmfierro            3238.7            6
masmith             3238.5           21
jhayron             3231.0           10
mhafsah             3218.2            4
dimitri             3142.7           28
smannis             3134.5           14
jshiwang            3077.2            2
haonan              3046.5          520
bmraczka            3043.6          824
danqiongd           3038.3           29
alojko              3018.6            9
ananyas             3018.4            9
zke3                3012.9           10
hzanganeh           2991.4           30
