Accounts      Usage         Counts      
UHOW0002           19646.9          140
UTAM0025           19625.5           19
P04010022          19153.0           10
P48503002          19135.8          137
UIUC0067           19059.1           69
WYOM0203           19029.7          209
UDRT0019           18209.8           31
UPSU0046           18013.8           10
UCNN0047           17411.9           19
NMMM0004           17409.6           85
UCSD0034           17378.4           28
UWIS0064           17277.4           30
UNEB0015           17142.5          120
UCSD0066           17048.4          566
UCLA0072           16563.8           11
NSAP0002           16288.3           35
UCNN0045           16053.2          105
NTDD0005           15825.1         3648
UJHB0030           15520.7          104
WYOM0222           15509.8          204
UOKL0045           15417.6          189
UMIC0113           15124.9           35
UPSU0052           14790.9            7
UBRN0025           14625.4           73
UWAS0166           14461.6            5
UALB0048           14298.7           21
NMMM0021           14045.0          109
UCUB0131           13543.7          144
UTAD0002           13360.6           37
UHAH0036           12875.3          163
NMMM0054           12801.8          176
UNCS0062           12748.8           40
UCUB0166           12065.9          242
UCUB0187           12056.2           36
UGTS0002           12050.8            4
USIO0033           12029.6            8
UGIT0041           12023.4           26
UCIR0057           11947.7           12
UCUD0007           11717.2           82
CESM0029           11516.6           39
UNID0005           11413.9           12
WYOM0172           11388.1           19
UCUB0133           11031.0           51
P86850054          10863.9          858
UCOR0084           10807.3          941
UCSM0014           10797.7          962
NHAO0028           10695.7           80
NMMM0053           10570.4          557
UWAS0157           10462.0           23
UCNN0053           10296.7            5
UOKL0049           10295.8            2
UJHB0028            9456.8           27
UNCT0006            9314.6           58
UCOR0096            8737.7           10
UALB0044            8684.0         1327
NMMM0072            8633.3          246
UPSU0071            8590.9          145
UCNN0037            8348.2            2
UISU0014            8306.2           33
UCLA0060            8143.1            3
UUTA0019            7863.0           22
UCNN0034            7365.9            6
UNCS0049            7211.1           33
UNWR0009            7171.1          113
UNVR0025            7126.1           54
UCNN0056            6802.6           13
WYOM0201            6767.5           63
UTAM0027            6711.8           54
UCLB0017            6705.5           28
UCLA0075            6675.7           44
UCSB0023            6656.5            3
UWKU0002            6438.7           27
UWAS0126            6316.4           30
UWIS0054            6183.7           17
UCNN0057            6157.0            7
NWSA0001            6128.6           32
UERF0005            6092.1           10
UWIS0041            5930.6           14
UCLB0047            5704.0          504
UNDK0011            5698.5           64
UCUB0164            5534.5           12
